conversation_ID,floor_transfer_offset,conversation_time,t1_speaker,t2_speaker,t1_seq_initiating,t1_seq_responding,t1_seq_backchannel,t2_seq_initiating,t2_seq_responding,t2_seq_backchannel,t1_proc_clauses,t2_proc_clauses,t1_proc_frequency,t2_proc_frequency,t1_proc_concreteness,t2_proc_concreteness,t1_nonv_speaker_gaze,t1_nonv_listener_gaze,t1_nonv_pitch,t1_oth_sex,t2_oth_sex,t1_proc_speechrate,t2_proc_speechrate,t1_proc_duration,t2_proc_duration
DVA1A,0.038000000000000034,0.822,2,1,no,no,yes,no,no,no,1,2,96,134.85714285714286,NA,2.051428571428571,g,x,low,F,F,1.2914266303586006,0.8801102564492588,0.2899999999999999,3.016
DVA1A,1.0459999999999998,3.876,1,2,no,no,no,no,no,yes,2,3,134.85714285714286,600.7857142857143,2.051428571428571,1.6876923076923078,x,g,high,F,F,0.8801102564492588,1.2566816147390039,3.016,5.526000000000001
DVA1A,0.18099999999999916,10.448,2,1,no,no,no,no,no,no,3,2,600.7857142857143,615.4615384615385,1.6876923076923078,2.0275,g,g,mid,F,F,1.2566816147390039,1.0438221173404802,5.526000000000001,4.17
DVA1A,0.018000000000000682,14.799,1,2,no,no,no,no,no,yes,2,1,615.4615384615385,2702,2.0275,1.53,g,g,high,F,F,1.0438221173404802,1.337832758035262,4.17,0.1999999999999993
DVA1A,0.6349999999999998,15.017,2,1,no,no,yes,no,no,no,1,1,2702,749.8888888888889,1.53,1.6574999999999998,g,g,high,F,F,1.337832758035262,1.8619567908195467,0.1999999999999993,3.8430000000000017
DVA1A,-0.005000000000002558,19.49,1,2,no,no,no,no,no,yes,1,1,749.8888888888889,2702,1.6574999999999998,1.53,g,g,mid,F,F,1.8619567908195467,1.9325403759134319,3.8430000000000017,0.28000000000000114
DVA1A,0.3760000000000012,19.77,2,1,no,no,yes,no,no,no,1,4,2702,339.2,1.53,2.8461538461538463,g,g,high,F,F,1.9325403759134319,1.63515857210135,0.28000000000000114,5.655999999999999
DVA1A,0.036999999999999034,25.802,1,2,no,no,no,no,no,yes,4,1,339.2,2702,2.8461538461538463,1.53,g,g,mid,F,F,1.63515857210135,1.4018644378895533,5.655999999999999,0.5600000000000023
DVA1A,0.4450000000000003,26.399,2,1,no,no,yes,no,no,no,1,2,2702,449.42857142857144,1.53,1.7899999999999998,g,g,high,F,F,1.4018644378895533,1.1536904182118015,0.5600000000000023,2.321999999999999
DVA1A,0.07600000000000051,29.166,1,2,no,no,no,yes,no,no,2,1,449.42857142857144,322.1666666666667,1.7899999999999998,1.7699999999999998,g,g,mid,F,F,1.1536904182118015,1.0473905173981812,2.321999999999999,1.5700000000000003
DVA1A,0.4139999999999979,30.812,2,1,yes,no,no,no,yes,no,1,2,322.1666666666667,249.8125,1.7699999999999998,1.83125,g,g-x,mid,F,F,1.0473905173981812,0.9493705001395409,1.5700000000000003,4.323
DVA1A,0.20300000000000296,35.549,1,2,no,no,no,no,no,yes,2,1,249.8125,2702,1.83125,1.53,g,g,mid,F,F,0.9493705001395409,1.5102800845275486,4.323,0.22999999999999687
DVA1A,1.139000000000003,35.982,2,1,no,no,yes,no,no,no,1,3,2702,512.7647058823529,1.53,2.0229411764705882,g,g,mid,F,F,1.5102800845275486,1.2811911852066544,0.22999999999999687,4.707000000000001
DVA1A,0.001999999999995339,41.828,1,2,no,no,no,no,no,yes,3,1,512.7647058823529,2702,2.0229411764705882,1.53,g,g,mid,F,F,1.2811911852066544,1.8881564091297123,4.707000000000001,0.240000000000002
DVA1A,0.365000000000002,42.07,2,1,no,no,yes,no,no,no,1,2,2702,418.5,1.53,1.9600000000000004,g,g,high,F,F,1.8881564091297123,1.4008852889475887,0.240000000000002,6.161999999999999
DVA1A,0.18200000000000216,48.597,1,2,no,no,no,no,no,yes,2,1,418.5,2702,1.9600000000000004,1.53,g,g,low,F,F,1.4008852889475887,1.6383434442361158,6.161999999999999,0.21999999999999886
DVA1A,0.18599999999999994,48.999,2,1,no,no,yes,no,no,no,1,1,2702,505.6,1.53,1.7740000000000002,g,g,high,F,F,1.6383434442361158,1.312852040334025,0.21999999999999886,2.3599999999999994
DVA1A,-0.4100000000000037,51.135,1,2,no,no,no,no,yes,no,1,1,505.6,2702,1.7740000000000002,1.53,g,g,mid,F,F,1.312852040334025,0.8825907950318598,2.3599999999999994,0.5200000000000031
