phone,avg_duration
b,0.0549386724386723
@,0.09143896629273601
G,0.07485975212002605
I,0.05492396027312248
n,0.056392666739195414
w,0.04742319732754351
e,0.09080531408889604
r,0.05302932350166884
O,0.06278761682242931
p,0.06219699499165197
i,0.07311324451410661
m,0.06770782658463247
E,0.06137605018377744
t,0.06030003570943266
v,0.07305855742648841
h,0.05385301714017411
a,0.11265329267130077
l,0.060069764691970555
k,0.0636380813953477
A,0.06002183031458286
d,0.04467947550537212
x,0.07598469143677193
u,0.058496583143508
s,0.08400011229646062
Y,0.05326430517711115
o,0.08972162629757728
E+,0.105103085791794
z,0.07470144996434552
A+,0.10047889610389654
f,0.07603823685608063
j,0.0691782065834269
Y+,0.12500805152978992
N,0.06190174326465763
@+,0.09634560906515832
y,0.0682076637824461
S,0.0992771084337347
g,0.0456666666666712
???,0.4156666666666524
